StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Elig1,CSAT,Churn,Drivers_1,Drivers_2,Drivers_3,Drivers_4,Drivers_5,Drivers_6,Drivers_7,Drivers_8,Drivers_9,Drivers_10,Age,Gender,Gender_4_TEXT,Education,Employment,Income,Marital,Spanish_Hispanic_Latino,Race,Household,Zip,QState_Zip
2021-06-15 09:39:36,2021-06-15 09:39:36,Imported,,,,True,2023-11-19 13:14:06,R_1ZVpXwFmf5rBypo,,,,,,,,,YumYum,Somewhat satisfied,Might or might not,Very satisfied,Very satisfied,Neither satisfied nor dissatisfied,Very satisfied,Neither satisfied nor dissatisfied,Somewhat satisfied,Very satisfied,Very satisfied,Very satisfied,Neither satisfied nor dissatisfied,25-34 years old,Male,,Bachelor’s degree,Working full-time,"$150,000 or more ",Married,No,Native Hawaiian or Other Pacific Islander,4,78520,TX
2021-06-15 09:39:36,2021-06-15 09:39:36,Imported,,,,True,2023-11-19 13:14:06,R_23GuiYibeutX4NM,,,,,,,,,"YumYum,Dinnerly",Very satisfied,Probably will not,Very satisfied,Very satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat dissatisfied,Somewhat dissatisfied,Somewhat satisfied,Neither satisfied nor dissatisfied,35-44 years old,Female,,"Some college, but no degree",Unemployed and looking for work,"$25,000-$49,999",Divorced/Separated,Yes,White,3,90001,CA
2021-06-15 09:39:36,2021-06-15 09:39:36,Imported,,,,True,2023-11-19 13:14:06,R_24AbSqu86cuUX5k,,,,,,,,,YumYum,Somewhat satisfied,Definitely will not,Very satisfied,Very satisfied,Somewhat satisfied,Very satisfied,Neither satisfied nor dissatisfied,Somewhat satisfied,Somewhat satisfied,Very satisfied,Neither satisfied nor dissatisfied,Very dissatisfied,25-34 years old,Male,,Bachelor’s degree,Working full-time,"$100,000-$149,999",Living with a partner,No,White,3,32509,FL
2021-06-15 09:39:36,2021-06-15 09:39:36,Imported,,,,True,2023-11-19 13:14:06,R_2cpLDp2AX7cs3zg,,,,,,,,,"YumYum,Hungryroot,Blue Apron",Neither satisfied nor dissatisfied,Definitely will,Somewhat satisfied,Very dissatisfied,Very satisfied,Somewhat dissatisfied,Neither satisfied nor dissatisfied,Very dissatisfied,Very dissatisfied,Neither satisfied nor dissatisfied,Somewhat dissatisfied,Very satisfied,25-34 years old,Male,,Bachelor’s degree,Working full-time,"Less than $25,000",Never been married,Yes,Black or African American,1,85037,AZ
2021-06-15 09:39:36,2021-06-15 09:39:36,Imported,,,,True,2023-11-19 13:14:06,R_2mZEIdOSceXQAPs,,,,,,,,,YumYum,Somewhat satisfied,Probably will,Somewhat satisfied,Somewhat satisfied,Very dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Very dissatisfied,Neither satisfied nor dissatisfied,Very satisfied,Very satisfied,Somewhat dissatisfied,35-44 years old,Male,,Bachelor’s degree,Working full-time,"$25,000-$49,999",Living with a partner,Yes,White,2,32246,FL
2021-06-15 09:39:36,2021-06-15 09:39:36,Imported,,,,True,2023-11-19 13:14:06,R_2mdlMxge06lYmCq,,,,,,,,,YumYum,Very dissatisfied,Probably will,Very dissatisfied,Somewhat dissatisfied,Very dissatisfied,Somewhat satisfied,Somewhat satisfied,Neither satisfied nor dissatisfied,Somewhat satisfied,Neither satisfied nor dissatisfied,Very dissatisfied,Very satisfied,Under 18,Female,,Bachelor’s degree,Working part-time,"$75,000-$99,999",Never been married,No,White,2,8812,NJ
2021-06-15 09:39:36,2021-06-15 09:39:36,Imported,,,,True,2023-11-19 13:14:06,R_2n6Rxs9Aa3piKHk,,,,,,,,,"YumYum,HelloFresh,Some other brand",Very dissatisfied,Definitely will,Very dissatisfied,Very dissatisfied,Very dissatisfied,Very satisfied,Somewhat satisfied,Somewhat dissatisfied,Somewhat satisfied,Neither satisfied nor dissatisfied,Somewhat satisfied,Somewhat satisfied,25-34 years old,Female,,Bachelor’s degree,Other,"$150,000 or more ",Living with a partner,No,Black or African American,5,40245,KY
2021-06-15 09:39:36,2021-06-15 09:39:36,Imported,,,,True,2023-11-19 13:14:06,R_2sh2q376AphN8bA,,,,,,,,,"YumYum,HelloFresh",Somewhat satisfied,Might or might not,Somewhat satisfied,Somewhat satisfied,Neither satisfied nor dissatisfied,Very satisfied,Somewhat dissatisfied,Neither satisfied nor dissatisfied,Very satisfied,Somewhat satisfied,Somewhat satisfied,Neither satisfied nor dissatisfied,35-44 years old,Male,,Bachelor’s degree,Working full-time,"$100,000-$149,999",Never been married,Yes,"Asian,Native Hawaiian or Other Pacific Islander",1,57401,SD
2021-06-15 09:39:36,2021-06-15 09:39:36,Imported,,,,True,2023-11-19 13:14:06,R_3DbBLGBlmGkrUyi,,,,,,,,,YumYum,Somewhat satisfied,Might or might not,Very satisfied,Very satisfied,Somewhat satisfied,Neither satisfied nor dissatisfied,Somewhat satisfied,Very satisfied,Somewhat satisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Very satisfied,18-24 years old,Female,,Bachelor’s degree,Working full-time,"Less than $25,000",Living with a partner,No,American Indian or Alaska Native,2,45130,OH
2021-06-15 09:39:36,2021-06-15 09:39:36,Imported,,,,True,2023-11-19 13:14:06,R_3OuNWGIis5p6Pbw,,,,,,,,,YumYum,Somewhat satisfied,Might or might not,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Somewhat satisfied,Very dissatisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Neither satisfied nor dissatisfied,Very dissatisfied,25-34 years old,Male,,Bachelor’s degree,Working full-time,"$25,000-$49,999",Never been married,No,White,1,91321,CA
2021-06-15 09:39:36,2021-06-15 09:39:36,Imported,,,,True,2023-11-19 13:14:06,R_3OweVeLOMRaE0rc,,,,,,,,,"YumYum,Home Chef,Some other brand",Very dissatisfied,Probably will,Very dissatisfied,Somewhat dissatisfied,Very dissatisfied,Somewhat satisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Very satisfied,Very satisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,45-54 years old,Female,,Bachelor’s degree,Working part-time,"$150,000 or more ",Living with a partner,No,White,2,54115,WI
2021-06-15 09:39:36,2021-06-15 09:39:36,Imported,,,,True,2023-11-19 13:14:06,R_3UHV8I9U6BLyUYK,,,,,,,,,"YumYum,Dinnerly,Blue Apron",Neither satisfied nor dissatisfied,Might or might not,Somewhat satisfied,Neither satisfied nor dissatisfied,Somewhat dissatisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Neither satisfied nor dissatisfied,Very dissatisfied,Neither satisfied nor dissatisfied,Somewhat dissatisfied,35-44 years old,Male,,High school diploma or GED,A homemaker or stay-at-home parent,"$50,000-$74,999",Married,No,White,2,33602,FL
2021-06-15 09:39:36,2021-06-15 09:39:36,Imported,,,,True,2023-11-19 13:14:06,R_3WwCTysYJp47R9I,,,,,,,,,YumYum,Somewhat satisfied,Definitely will not,Very satisfied,Very satisfied,Somewhat satisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Very satisfied,Somewhat satisfied,Very satisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,25-34 years old,Female,,Bachelor’s degree,A homemaker or stay-at-home parent,"$25,000-$49,999",Married,No,White,3,93621,CA
2021-06-15 09:39:36,2021-06-15 09:39:36,Imported,,,,True,2023-11-19 13:14:06,R_3a4rEiw0AgFzZga,,,,,,,,,YumYum,Very satisfied,Probably will not,Very satisfied,Very satisfied,Somewhat satisfied,Very satisfied,Somewhat dissatisfied,Somewhat dissatisfied,Somewhat dissatisfied,Somewhat satisfied,Somewhat satisfied,Neither satisfied nor dissatisfied,45-54 years old,Female,,Bachelor’s degree,Unemployed and looking for work,"$100,000-$149,999",Divorced/Separated,No,White,1,31510,GA
2021-06-15 09:39:36,2021-06-15 09:39:36,Imported,,,,True,2023-11-19 13:14:06,R_3atgjotvy2RKjH0,,,,,,,,,YumYum,Very satisfied,Definitely will not,Very satisfied,Very satisfied,Neither satisfied nor dissatisfied,Somewhat satisfied,Neither satisfied nor dissatisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Neither satisfied nor dissatisfied,Somewhat satisfied,18-24 years old,Female,,Bachelor’s degree,Working part-time,"$25,000-$49,999",Living with a partner,No,"Asian,Native Hawaiian or Other Pacific Islander",2,37211,TN
2021-06-15 09:39:36,2021-06-15 09:39:36,Imported,,,,True,2023-11-19 13:14:06,R_3gSEq6mMtv8zNfE,,,,,,,,,"YumYum,Some other brand",Very satisfied,Definitely will not,Very satisfied,Very satisfied,Neither satisfied nor dissatisfied,Very satisfied,Neither satisfied nor dissatisfied,Somewhat satisfied,Neither satisfied nor dissatisfied,Very satisfied,Neither satisfied nor dissatisfied,Very satisfied,55-64 years old,Male,,Bachelor’s degree,Working full-time,"$50,000-$74,999",Never been married,Yes,Black or African American,1,94521,CA
2021-06-15 09:39:36,2021-06-15 09:39:36,Imported,,,,True,2023-11-19 13:14:06,R_3k2oEP5Qo6S6laC,,,,,,,,,"YumYum,HelloFresh",Neither satisfied nor dissatisfied,Might or might not,Somewhat satisfied,Very satisfied,Somewhat dissatisfied,Neither satisfied nor dissatisfied,Very dissatisfied,Somewhat dissatisfied,Neither satisfied nor dissatisfied,Somewhat satisfied,Very satisfied,Very satisfied,35-44 years old,Female,,Bachelor’s degree,Working full-time,"$25,000-$49,999",Married,Yes,Black or African American,2,30094,GA
2021-06-15 09:39:36,2021-06-15 09:39:36,Imported,,,,True,2023-11-19 13:14:06,R_3sFMqyAM25X6RxA,,,,,,,,,"YumYum,Some other brand",Somewhat dissatisfied,Probably will not,Somewhat satisfied,Very satisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Somewhat dissatisfied,Somewhat dissatisfied,Neither satisfied nor dissatisfied,Somewhat satisfied,Neither satisfied nor dissatisfied,Somewhat satisfied,65+ years old,Female,,Bachelor’s degree,Working full-time,"$25,000-$49,999",Married,No,White,2,20019,DC
2021-06-15 09:39:36,2021-06-15 09:39:36,Imported,,,,True,2023-11-19 13:14:06,R_3sj5yTXk1mX6HDU,,,,,,,,,"YumYum,Hungryroot",Somewhat dissatisfied,Probably will,Somewhat satisfied,Somewhat dissatisfied,Somewhat dissatisfied,Somewhat dissatisfied,Very satisfied,Very dissatisfied,Somewhat dissatisfied,Very satisfied,Somewhat satisfied,Somewhat dissatisfied,18-24 years old,Male,,Bachelor’s degree,Student,"$50,000-$74,999",Never been married,No,Asian,1,92881,CA
2021-06-15 09:39:36,2021-06-15 09:39:36,Imported,,,,True,2023-11-19 13:14:06,R_3xhuia7ioDJ5Gom,,,,,,,,,YumYum,Very dissatisfied,Definitely will,Very dissatisfied,Very dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Somewhat dissatisfied,Very satisfied,Very satisfied,Somewhat dissatisfied,Somewhat satisfied,65+ years old,Male,,High school diploma or GED,Retired,"$25,000-$49,999",Living with a partner,No,White,2,35226,AL
2021-06-15 09:39:36,2021-06-15 09:39:36,Imported,,,,True,2023-11-19 13:14:06,R_3yBy6QIuU5xMP2u,,,,,,,,,YumYum,Somewhat satisfied,Probably will not,Neither satisfied nor dissatisfied,Somewhat satisfied,Neither satisfied nor dissatisfied,Very satisfied,Very dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Very satisfied,Somewhat satisfied,45-54 years old,Female,,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS)",Working full-time,"$150,000 or more ",Divorced/Separated,No,White,1,75149,TX
2021-06-15 09:39:36,2021-06-15 09:39:36,Imported,,,,True,2023-11-19 13:14:06,R_41LjXAOpLgmRAZ8,,,,,,,,,"YumYum,Dinnerly,HelloFresh",Very satisfied,Probably will not,Very satisfied,Very satisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Very dissatisfied,Neither satisfied nor dissatisfied,Very dissatisfied,Somewhat satisfied,65+ years old,Male,,Associates or technical degree,Retired,"$25,000-$49,999",Married,No,White,2,90020,CA
2021-06-15 09:39:36,2021-06-15 09:39:36,Imported,,,,True,2023-11-19 13:14:06,R_42AK3nEF6peU754,,,,,,,,,YumYum,Very satisfied,Probably will not,Very satisfied,Very satisfied,Neither satisfied nor dissatisfied,Very satisfied,Somewhat satisfied,Very satisfied,Very dissatisfied,Somewhat satisfied,Neither satisfied nor dissatisfied,Very dissatisfied,55-64 years old,Female,,Bachelor’s degree,Working full-time,"$50,000-$74,999",Never been married,Yes,White,1,10001,NY
2021-06-15 09:39:36,2021-06-15 09:39:36,Imported,,,,True,2023-11-19 13:14:06,R_4Je1qUkq44MD2Bg,,,,,,,,,"YumYum,HelloFresh,Hungryroot",Very dissatisfied,Probably will,Very dissatisfied,Somewhat dissatisfied,Somewhat satisfied,Somewhat dissatisfied,Neither satisfied nor dissatisfied,Very dissatisfied,Somewhat satisfied,Very satisfied,Very dissatisfied,Somewhat satisfied,45-54 years old,Male,,"Some college, but no degree",A homemaker or stay-at-home parent,"$25,000-$49,999",Divorced/Separated,No,Native Hawaiian or Other Pacific Islander,3,93030,CA
2021-06-15 09:39:36,2021-06-15 09:39:36,Imported,,,,True,2023-11-19 13:14:06,R_4JvRdxhUEfs6sGa,,,,,,,,,YumYum,Somewhat satisfied,Probably will,Somewhat satisfied,Neither satisfied nor dissatisfied,Somewhat dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Very satisfied,Somewhat dissatisfied,Somewhat satisfied,45-54 years old,Male,,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS)",Unemployed and looking for work,"$75,000-$99,999",Living with a partner,No,White,2,43912,OH
2021-06-15 09:39:36,2021-06-15 09:39:36,Imported,,,,True,2023-11-19 13:14:06,R_4Nqnq2xdGKrR0JE,,,,,,,,,YumYum,Very satisfied,Probably will not,Very satisfied,Very satisfied,Neither satisfied nor dissatisfied,Somewhat satisfied,Neither satisfied nor dissatisfied,Very satisfied,Somewhat satisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Somewhat dissatisfied,25-34 years old,Male,,"Some college, but no degree",Working full-time,"$100,000-$149,999",Never been married,No,White,1,33810,FL
2021-06-15 09:39:36,2021-06-15 09:39:36,Imported,,,,True,2023-11-19 13:14:06,R_4OqXDVeOcW0nxs2,,,,,,,,,YumYum,Somewhat satisfied,Probably will not,Very satisfied,Very satisfied,Somewhat satisfied,Neither satisfied nor dissatisfied,Very dissatisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Very satisfied,Somewhat satisfied,18-24 years old,Female,,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS)",Working full-time,"$25,000-$49,999",Never been married,No,Black or African American,1,33196,FL
2021-06-15 09:39:36,2021-06-15 09:39:36,Imported,,,,True,2023-11-19 13:14:06,R_4VqLiacDgKrNWzc,,,,,,,,,YumYum,Very dissatisfied,Probably will,Very dissatisfied,Somewhat dissatisfied,Somewhat dissatisfied,Somewhat satisfied,Very satisfied,Very dissatisfied,Somewhat satisfied,Neither satisfied nor dissatisfied,Very dissatisfied,Very satisfied,45-54 years old,Male,,Bachelor’s degree,Working full-time,"$50,000-$74,999",Divorced/Separated,No,White,1,44138,OH
2021-06-15 09:39:36,2021-06-15 09:39:36,Imported,,,,True,2023-11-19 13:14:06,R_4ZKtVVti20MxpHg,,,,,,,,,"YumYum,Some other brand",Somewhat satisfied,Probably will not,Very satisfied,Very satisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Somewhat satisfied,Very satisfied,Very satisfied,Very satisfied,Neither satisfied nor dissatisfied,25-34 years old,Male,,Bachelor’s degree,Working part-time,"$75,000-$99,999",Married,No,White,2,10002,NY
2021-06-15 09:39:36,2021-06-15 09:39:36,Imported,,,,True,2023-11-19 13:14:06,R_4ZuEnDG66mKHH5I,,,,,,,,,"YumYum,Blue Apron",Somewhat satisfied,Might or might not,Very satisfied,Very satisfied,Neither satisfied nor dissatisfied,Very satisfied,Neither satisfied nor dissatisfied,Very satisfied,Neither satisfied nor dissatisfied,Somewhat satisfied,Neither satisfied nor dissatisfied,Somewhat satisfied,18-24 years old,Female,,Bachelor’s degree,Working full-time,"$75,000-$99,999",Never been married,No,White,1,13204,NY
2021-06-15 09:39:36,2021-06-15 09:39:36,Imported,,,,True,2023-11-19 13:14:06,R_552pnMpn1J2o0V8,,,,,,,,,"YumYum,Home Chef,Some other brand",Very dissatisfied,Definitely will,Very dissatisfied,Very dissatisfied,Very dissatisfied,Very satisfied,Very satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat dissatisfied,Somewhat dissatisfied,Very satisfied,45-54 years old,Male,,Bachelor’s degree,Working full-time,"$100,000-$149,999",Divorced/Separated,No,"White,Native Hawaiian or Other Pacific Islander",1,33187,FL
2021-06-15 09:39:36,2021-06-15 09:39:36,Imported,,,,True,2023-11-19 13:14:06,R_5AoCyuWC8DhA9Wm,,,,,,,,,"YumYum,Home Chef",Somewhat dissatisfied,Probably will not,Very dissatisfied,Somewhat satisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Somewhat satisfied,Somewhat dissatisfied,Neither satisfied nor dissatisfied,Very satisfied,Somewhat dissatisfied,Somewhat dissatisfied,35-44 years old,Male,,High school diploma or GED,Student,"$25,000-$49,999",Divorced/Separated,No,White,1,11702,NY
2021-06-15 09:39:36,2021-06-15 09:39:36,Imported,,,,True,2023-11-19 13:14:06,R_5dq9BGhAo1gc7rM,,,,,,,,,YumYum,Neither satisfied nor dissatisfied,Might or might not,Neither satisfied nor dissatisfied,Very satisfied,Somewhat dissatisfied,Somewhat satisfied,Very dissatisfied,Somewhat dissatisfied,Somewhat satisfied,Somewhat satisfied,Neither satisfied nor dissatisfied,Somewhat satisfied,35-44 years old,Male,,Bachelor’s degree,Working full-time,"$25,000-$49,999",Married,No,Asian,4,33180,FL
2021-06-15 09:39:36,2021-06-15 09:39:36,Imported,,,,True,2023-11-19 13:14:06,R_5dvPJNmpiP95Afs,,,,,,,,,"YumYum,HelloFresh",Very satisfied,Probably will not,Very satisfied,Very satisfied,Somewhat dissatisfied,Very satisfied,Neither satisfied nor dissatisfied,Somewhat satisfied,Somewhat satisfied,Somewhat dissatisfied,Somewhat satisfied,Somewhat dissatisfied,65+ years old,Female,,Bachelor’s degree,Retired,"$150,000 or more ",Divorced/Separated,No,White,1,78503,TX
2021-06-15 09:39:36,2021-06-15 09:39:36,Imported,,,,True,2023-11-19 13:14:06,R_5gNgBVb8MTlnA4m,,,,,,,,,"YumYum,Home Chef,Dinnerly",Somewhat dissatisfied,Probably will not,Somewhat satisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Somewhat dissatisfied,Somewhat dissatisfied,Somewhat dissatisfied,Somewhat dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Somewhat satisfied,45-54 years old,Male,,Bachelor’s degree,Working full-time,"$25,000-$49,999",Living with a partner,No,White,2,20002,DC
2021-06-15 09:39:36,2021-06-15 09:39:36,Imported,,,,True,2023-11-19 13:14:06,R_5vuUsU6kTSTdW5M,,,,,,,,,"YumYum,Blue Apron",Somewhat dissatisfied,Probably will not,Neither satisfied nor dissatisfied,Somewhat dissatisfied,Somewhat dissatisfied,Somewhat dissatisfied,Somewhat dissatisfied,Neither satisfied nor dissatisfied,Somewhat dissatisfied,Very satisfied,Neither satisfied nor dissatisfied,Somewhat satisfied,45-54 years old,Male,,High school diploma or GED,Unemployed and looking for work,"Less than $25,000",Married,No,Asian,4,90260,CA
